Come On Eileen,0
Down Under,0
Tainted Love,0
You Make My Dreams,0
Summer Of '69,0
Don't Stop Believin',0
Africa,0
She Likes (Bittersweet Love),0
Reach,0
My First Punk Song,1
Make You Smile,0
Lifestyles of the Rich & Famous,0
There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet,0
The Great Escape,0
One Last Kiss,0
Miss Sobriety,0
Still into You,0
Godzilla,0
Dogs Eating Dogs,0
Obvious,0
